start_station,end_station,ride_type,route_percent_x_rider_type,running_count,total_count
Ellis Ave & 58th St,Ellis Ave & 55th St,member,0.02272948791963232,61789,2534153
Sheridan Rd & Irving Park Rd,Sheridan Rd & Buena Ave,member,0.022571644253523763,62361,2534153
Wells St & Huron St,Wells St & Elm St,member,0.022571644253523763,62933,2534153
Southport Ave & Waveland Ave,Southport Ave & Roscoe St,member,0.022492722420469482,63503,2534153
Michigan Ave & Oak St,DuSable Lake Shore Dr & Diversey Pkwy,casual,0.022468242566268507,139448,1366373
DuSable Lake Shore Dr & Belmont Ave,Michigan Ave & Oak St,casual,0.022321869650527345,140059,1366373
University Ave & 57th St,Shore Dr & 55th St,member,0.022295417837833786,64068,2534153
University Ave & 57th St,Lake Park Ave & 56th St,casual,0.022248683192656764,140973,1366373
Michigan Ave & Washington St,Canal St & Madison St,member,0.022137574171725224,64629,2534153
Wabash Ave & Adams St,Canal St & Madison St,member,0.022137574171725224,65190,2534153
Clinton St & Lake St,Clinton St & Jackson Blvd,member,0.02201919142214381,65748,2534153
Ellis Ave & 60th St,Blackstone Ave & 59th St,member,0.02197973050561667,66305,2534153
Woodlawn Ave & 55th St,University Ave & 57th St,member,0.02182188683950811,66858,2534153
Pine Grove Ave & Irving Park Rd,Sheridan Rd & Irving Park Rd,member,0.021466738590763857,67402,2534153
Wells St & Elm St,Wells St & Concord Ln,casual,0.021443632156080368,143659,1366373
Clarendon Ave & Junior Ter,Broadway & Waveland Ave,member,0.0213088949246553,67942,2534153
Montrose Harbor,Theater on the Lake,casual,0.021297259240339206,144243,1366373
Sheffield Ave & Fullerton Ave,Greenview Ave & Fullerton Ave,casual,0.021077699866727462,144531,1366373
University Ave & 57th St,Woodlawn Ave & 55th St,member,0.020953746675911045,68473,2534153
Franklin St & Jackson Blvd,Canal St & Madison St,member,0.020914285759383904,69003,2534153
Kimbark Ave & 53rd St,Ellis Ave & 60th St,casual,0.020858140493115716,146536,1366373
Wells St & Elm St,Wells St & Huron St,member,0.020795903009802486,69530,2534153
Montrose Harbor,Lakefront Trail & Bryn Mawr Ave,casual,0.020784954035245135,147105,1366373
Greenview Ave & Fullerton Ave,Sheffield Ave & Fullerton Ave,member,0.020638059343693928,70053,2534153
Columbus Dr & Randolph St,State St & Randolph St,member,0.020598598427166787,70575,2534153
University Ave & 59th St,Ellis Ave & 60th St,member,0.020598598427166787,71097,2534153
State St & Chicago Ave,Wells St & Huron St,member,0.020598598427166787,71619,2534153
Elston Ave & Cortland St,Sheffield Ave & Kingsbury St,member,0.020598598427166787,72141,2534153
Federal St & Polk St,Federal St & Polk St,casual,0.02049220820376281,148789,1366373
University Ave & 59th St,Ellis Ave & 55th St,member,0.020401293844531092,72658,2534153
Clinton St & Tilden St,Clinton St & Madison St,member,0.020401293844531092,73175,2534153
Kingsbury St & Kinzie St,Clinton St & Washington Blvd,member,0.020282911094949674,73689,2534153
Lake Park Ave & 56th St,University Ave & 57th St,casual,0.020199462372280486,149343,1366373
Ellis Ave & 58th St,Kimbark Ave & 53rd St,member,0.020164528345368256,74200,2534153
Drexel Ave & 60th St,University Ave & 57th St,member,0.02012506742884112,74710,2534153
Ellis Ave & 60th St,Woodlawn Ave & 58th St,member,0.020006684679259697,75217,2534153
Michigan Ave & 8th St,Michigan Ave & Jackson Blvd,casual,0.019906716540798158,151814,1366373
Wabash Ave & Roosevelt Rd,Shedd Aquarium,casual,0.019906716540798158,152358,1366373
Federal St & Polk St,Wabash Ave & Roosevelt Rd,member,0.01973045826356972,75717,2534153
Kimbark Ave & 53rd St,Ellis Ave & 53rd St,member,0.01973045826356972,76217,2534153
Pine Grove Ave & Irving Park Rd,Pine Grove Ave & Waveland Ave,member,0.01973045826356972,76717,2534153
Sheridan Rd & Irving Park Rd,Pine Grove Ave & Irving Park Rd,member,0.019651536430515443,77713,2534153
Montrose Harbor,Montrose Harbor,member,0.019651536430515443,77215,2534153
University Ave & 57th St,Blackstone Ave & 59th St,casual,0.019613970709315833,154246,1366373
