start_station,end_station,ride_type,route_percent_x_rider_type,route_count,running_count,total_count,pair_rank,cumulative_route_percent
LaSalle St & Illinois St,LaSalle St & Illinois St,casual,0.02620075191766816,358,127411,1366373,138,9.324759783748654
Wabash Ave & 9th St,Wabash Ave & 9th St,casual,0.02612756545979758,357,127768,1366373,139,9.350887349208453
Navy Pier,DuSable Lake Shore Dr & Belmont Ave,casual,0.026054379001927003,356,128124,1366373,140,9.37694172821038
Loomis St & Lexington St,Morgan St & Polk St,casual,0.026054379001927003,356,128480,1366373,141,9.402996107212305
DuSable Lake Shore Dr & North Blvd,Theater on the Lake,casual,0.026054379001927003,356,128836,1366373,142,9.429050486214233
Calumet Ave & 18th St,Calumet Ave & 18th St,casual,0.026054379001927003,356,129192,1366373,143,9.45510486521616
Michigan Ave & Oak St,DuSable Lake Shore Dr & Belmont Ave,casual,0.02568844671257409,351,129543,1366373,144,9.480793311928734
Cityfront Plaza Dr & Pioneer Ct,Navy Pier,casual,0.025468887338962347,348,129891,1366373,145,9.506262199267697
Millennium Park,Adler Planetarium,casual,0.025322514423221185,346,130237,1366373,146,9.531584713690917
McClurg Ct & Erie St,McClurg Ct & Erie St,casual,0.025322514423221185,346,130583,1366373,147,9.55690722811414
Michigan Ave & Oak St,Millennium Park,casual,0.025176141507480026,344,130927,1366373,148,9.58208336962162
Clark St & Armitage Ave,Navy Pier,casual,0.025176141507480026,344,131271,1366373,149,9.607259511129099
Navy Pier,Michigan Ave & Jackson Blvd,casual,0.02502976859173886,342,131613,1366373,150,9.632289279720837
Shedd Aquarium,Michigan Ave & 8th St,casual,0.024956582133868276,341,131954,1366373,151,9.657245861854706
Navy Pier,Michigan Ave & Lake St,casual,0.024810209218127113,339,132293,1366373,152,9.682056071072832
Wells St & 19th St,Wells St & 19th St,casual,0.024663836302385955,337,132630,1366373,153,9.70671990737522
McClurg Ct & Ohio St,Navy Pier,casual,0.024663836302385955,337,132967,1366373,154,9.731383743677604
Indiana Ave & Roosevelt Rd,DuSable Lake Shore Dr & Monroe St,casual,0.02459064984451537,336,133303,1366373,155,9.75597439352212
Halsted St & Maxwell St,Halsted St & Polk St,casual,0.02459064984451537,336,133639,1366373,156,9.780565043366636
Millennium Park,Michigan Ave & 8th St,casual,0.02451746338664479,335,133974,1366373,157,9.80508250675328
Millennium Park,Field Museum,casual,0.02451746338664479,335,134309,1366373,158,9.829599970139926
Sheridan Rd & Noyes St (NU),Sheridan Rd & Noyes St (NU),casual,0.024371090470903627,333,134642,1366373,159,9.85397106061083
DuSable Lake Shore Dr & Monroe St,Michigan Ave & 8th St,casual,0.024297904013033046,332,134974,1366373,160,9.878268964623862
Blackstone Ave & 59th St,University Ave & 57th St,casual,0.024224717555162464,331,135305,1366373,161,9.902493682179024
Michigan Ave & 8th St,Shedd Aquarium,casual,0.024005158181550718,328,135633,1366373,162,9.926498840360575
DuSable Lake Shore Dr & Belmont Ave,Navy Pier,casual,0.024005158181550718,328,135961,1366373,163,9.950503998542127
Navy Pier,Clark St & Lincoln Ave,casual,0.023712412350068393,324,136285,1366373,164,9.974216410892193
Navy Pier,McClurg Ct & Ohio St,casual,0.023639225892197812,323,136608,1366373,165,9.997855636784392
Walsh Park,Walsh Park,casual,0.02341966651858607,320,136928,1366373,166,10.021275303302977
Michigan Ave & Lake St,Navy Pier,casual,0.02341966651858607,320,137248,1366373,167,10.044694969821565
Shedd Aquarium,Adler Planetarium,casual,0.023346480060715484,319,137567,1366373,168,10.06804144988228
Navy Pier,New St & Illinois St,casual,0.023200107144974322,317,137884,1366373,169,10.091241557027255
DuSable Lake Shore Dr & Belmont Ave,DuSable Lake Shore Dr & North Blvd,casual,0.023200107144974322,317,138201,1366373,170,10.11444166417223
DuSable Lake Shore Dr & Diversey Pkwy,Michigan Ave & Oak St,casual,0.02312692068710374,316,138517,1366373,171,10.13756858485933
Theater on the Lake,Dusable Harbor,casual,0.022907361313491997,313,138830,1366373,172,10.160475946172824
Wells St & Huron St,Wells St & Elm St,casual,0.022760988397750835,311,139141,1366373,173,10.183236934570575
Michigan Ave & Oak St,DuSable Lake Shore Dr & Diversey Pkwy,casual,0.022468242566268507,307,139448,1366373,174,10.205705177136844
Streeter Dr & Grand Ave,DuSable Lake Shore Dr & Monroe St,casual,0.022395056108397926,306,139754,1366373,175,10.228100233245241
Wentworth Ave & Cermak Rd*,Wentworth Ave & Cermak Rd*,casual,0.022321869650527345,305,140059,1366373,176,10.250422102895769
DuSable Lake Shore Dr & Belmont Ave,Michigan Ave & Oak St,casual,0.022321869650527345,305,140364,1366373,177,10.272743972546296
Adler Planetarium,Field Museum,casual,0.022321869650527345,305,140669,1366373,178,10.295065842196824
University Ave & 57th St,Lake Park Ave & 56th St,casual,0.022248683192656764,304,140973,1366373,179,10.317314525389481
Michigan Ave & 8th St,DuSable Lake Shore Dr & Monroe St,casual,0.022248683192656764,304,141277,1366373,180,10.339563208582137
McClurg Ct & Ohio St,DuSable Lake Shore Dr & North Blvd,casual,0.022175496734786183,303,141580,1366373,181,10.361738705316922
LaSalle St & Illinois St,Navy Pier,casual,0.02202912381904502,301,141881,1366373,182,10.383767829135968
Millennium Park,Dusable Harbor,casual,0.02195593736117444,300,142181,1366373,183,10.405723766497141
Michigan Ave & Jackson Blvd,Millennium Park,casual,0.021809564445433274,298,142479,1366373,184,10.427533330942577
Michigan Ave & Pearson St,Michigan Ave & Pearson St,casual,0.021736377987562693,297,142776,1366373,185,10.449269708930139
Navy Pier,Mies van der Rohe Way & Chestnut St,casual,0.02159000507182153,295,143071,1366373,186,10.470859714001959
Indiana Ave & Roosevelt Rd,Adler Planetarium,casual,0.02159000507182153,295,143366,1366373,187,10.492449719073782
Wells St & Elm St,Wells St & Concord Ln,casual,0.021443632156080368,293,143659,1366373,188,10.513893351229862
Navy Pier,Clark St & Armitage Ave,casual,0.021443632156080368,293,143952,1366373,189,10.535336983385942
