end_station_name,end_lat,end_lng,stops,percent_of_stops
Kingsbury St & Kinzie St 2,41.889188000000566,-87.63838700000103,10242,0.3112658356721832
Peoria St & Jackson Blvd,41.877640826429484,-87.6496175835714,10166,0.30895611066621886
Desplaines St & Jackson Blvd,41.87811890091216,-87.64394760131836,9979,0.3032729715068069
Mies van der Rohe Way & Chestnut St,41.898586651399164,-87.62191522580234,9965,0.30284749584781345
Broadway & Belmont Ave,41.94010600363901,-87.64545100451781,9948,0.30233084683332145
Clark St & Wellington Ave,41.93649682190069,-87.64753865820109,9902,0.30093285538234305
Rush St & Cedar St,41.902308701219,-87.62769052799841,9900,0.30087207314534403
Fairbanks Ct & Grand Ave,41.89184737211118,-87.62058019638062,9838,0.2989878237983732
Kimbark Ave & 53rd St,41.799454899999624,-87.59477789999917,9681,0.294216418193947
State St & Kinzie St,41.889375466633,-87.62707650661469,9664,0.293699769179455
Rush St & Superior St,41.89576474564037,-87.62590803269998,9631,0.2926968622689705
Franklin St & Chicago Ave,41.89678999999955,-87.63563999999872,9619,0.29233216884697616
Sheffield Ave & Wellington Ave,41.93625348404111,-87.65266209706002,9614,0.2921802132544785
Morgan St & Polk St,41.87173700000044,-87.6510299999997,9587,0.29135965305499123
Sheffield Ave & Webster Ave,41.921540000000164,-87.65381800000041,9513,0.28911071028602603
Milwaukee Ave & Grand Ave,41.891578000000194,-87.64838400000005,9482,0.2881685856125406
Sheffield Ave & Wrightwood Ave,41.92871199999997,-87.65383299999957,9482,0.2881685856125406
Damen Ave & Pierce Ave,41.909302795134664,-87.67770096419628,9422,0.28634511850256883
Stockton Dr & Wrightwood Ave,41.93132000000086,-87.6387419999996,9416,0.2861627717915716
Clinton St & Washington Blvd 2,41.88337874725219,-87.64117006593482,9413,0.28607159843607305
Sedgwick St & Webster Ave,41.9221669999992,-87.63888800000014,9408,0.2859196428435754
Montrose Harbor,41.963982000000634,-87.638180999998,9356,0.28433930468159985
Sheridan Rd & Montrose Ave,41.96166999999975,-87.65463999999912,9345,0.284005002378105
Sedgwick St & North Ave,41.91098300000059,-87.63852500000048,9331,0.2835795267191116
Mies van der Rohe Way & Chicago Ave,41.89694462637083,-87.62175768613815,9221,0.2802365036841633
Burling St & Diversey Pkwy,41.93314000000033,-87.64776000000121,9146,0.2779571697966986
Clarendon Ave & Junior Ter,41.96100399999941,-87.64960299999925,9123,0.2772581740712094
Damen Ave & Chicago Ave,41.89568737053399,-87.67713508286393,9095,0.2764072227532226
Larrabee St & Kingsbury St,41.897763999999334,-87.64288400000052,9024,0.274249453339756
Dayton St & North Ave,41.91057803489942,-87.64942192879973,9022,0.2741886711027569
Wabash Ave & 9th St,41.87076900000041,-87.62573400000076,8925,0.27124073260830256
Field Blvd & South Water St,41.88634906269058,-87.61751654710136,8886,0.2700554789868209
Wells St & Randolph St,41.88429500000061,-87.6339630000002,8800,0.26744184279586136
Milwaukee Ave & The 606,41.91375400000016,-87.68266580000179,8796,0.2673202783218632
Clark St & Berwyn Ave,41.978023737146295,-87.66817962068473,8699,0.2643723398274088
Elston Ave & Cortland St,41.916433429127,-87.66674637794495,8685,0.2639468641684154
St. Clair St & Erie St,41.89434778492609,-87.62280135667532,8658,0.2631263039689281
Clark St & Chicago Ave,41.896749999999905,-87.6308900000003,8547,0.25975288981548034
Millennium Park,41.88103170000161,-87.6240843199994,8546,0.2597224986969808
Wells St & Polk St,41.87273154226341,-87.63351649045944,8543,0.2596313253414822
Canal St & Monroe St,41.882905600000136,-87.6397408999997,8530,0.25923624080098834
Ritchie Ct & Banks St,41.90686599999989,-87.62621699999954,8519,0.2589019384974935
Sheffield Ave & Waveland Ave,41.949398999999445,-87.65452900000153,8441,0.25653143125453015
Wacker Dr & Washington St,41.88314336439058,-87.63724207878113,8422,0.2559540000030391
Southport Ave & Wellington Ave,41.935774617663995,-87.66360014677048,8320,0.2528541059160871
Clifton Ave & Armitage Ave,41.91821599999922,-87.65693599999965,8206,0.2493895184071407
Michigan Ave & 14th St,41.86405899999963,-87.62372699999885,8184,0.24872091380015107
Lincoln Ave & Melrose St,41.94060000000071,-87.66943500000144,8156,0.2478699624821642
Lincoln Ave & Diversey Pkwy,41.932225000537585,-87.65861701292515,8037,0.24425341938072018
Aberdeen St & Randolph St,41.884114155229575,-87.65426401895277,8028,0.24397989931422442
Dusable Harbor,41.886975994992156,-87.61281299956565,8003,0.24322012135173615
California Ave & Milwaukee Ave,41.92269500000025,-87.69715300000054,7964,0.24203486773025448
Sangamon St & Lake St,41.88577925240448,-87.65102460980414,7963,0.24200447661175498
Kingsbury St & Kinzie St 1,41.88907000000006,-87.63834999999798,7933,0.24109274305676912
Larrabee St & Division St,41.90348607306846,-87.64335349142942,7920,0.2406976585162752
State St & Randolph St,41.88462107257965,-87.62783423066139,7786,0.23662524863733822
Ogden Ave & Chicago Ave,41.8963624579995,-87.65406127290038,7778,0.23638211968934197
Halsted St & Polk St,41.871840000000645,-87.64663999999958,7776,0.23632133745234296
Lakefront Trail & Bryn Mawr Ave,41.98404411519189,-87.65228122472763,7680,0.23340379007638806
Racine Ave & Belmont Ave,41.939743000000306,-87.65886500000057,7673,0.23319105224689135
Shore Dr & 55th St,41.79521199999986,-87.58071499999993,7659,0.23276557658789798
Halsted St & Dickens Ave,41.91993599999974,-87.64883000000005,7570,0.23006076704143982
Larrabee St & Kingsbury St 1,41.897766301693395,-87.64288410398724,7565,0.22990881144894218
Kedzie Ave & Milwaukee Ave,41.92932968711877,-87.70801076540329,7507,0.22814612657596944
Honore St & Division St,41.90311899999999,-87.67393499999925,7505,0.22808534433897037
Elizabeth St & Randolph St,41.88433600000024,-87.6589019999994,7462,0.2267785262434906
Damen Ave & Cortland St,41.91598299999967,-87.67733499999996,7428,0.2257452282145066
Cityfront Plaza Dr & Pioneer Ct,41.890572999999534,-87.62207199999882,7383,0.22437762788202775
Racine Ave & Fullerton Ave,41.92556599999988,-87.65841600000076,7338,0.22301002754954893
Sheridan Rd & Buena Ave,41.95848631297986,-87.65502310357782,7330,0.2227668986015527
LaSalle Dr & Huron St,41.894876999999575,-87.63232600000079,7307,0.2220679028760635
Sheffield Ave & Willow St,41.9136880000003,-87.65285499999936,7293,0.22164242721707006
Southport Ave & Belmont Ave,41.93947775040552,-87.6637476682663,7283,0.2213385160320748
Wolcott Ave & Polk St,41.871262000000286,-87.67368799999996,7260,0.22063952030658562
Blackstone Ave & 59th St,41.78787700000029,-87.59046100000036,7164,0.21772197293063072
Dearborn St & Monroe St,41.881319815000204,-87.62952091930072,7086,0.21535146568766741
Franklin St & Adams St ,41.87943409140048,-87.63550400733948,7068,0.2148044255546759
May St & Taylor St,41.86939043256824,-87.65539649442537,7056,0.21443973213268155
Clark St & Arlington Pl,41.92693988588269,-87.64147991324431,6944,0.21103592686073422
