end_station_name,end_lat,end_lng,stops,percent_of_stops
Sheffield Ave & Webster Ave,41.921540000000356,-87.65381800000098,4741,0.26456148417820763
Clark St & Drummond Pl,41.93124800000009,-87.6443359999987,4689,0.26165973408808596
Southport Ave & Wellington Ave,41.93577461766398,-87.66360014677048,4652,0.2595950272931917
Broadway & Belmont Ave,41.94010600363842,-87.64545100451676,4605,0.25697229163481256
Wabash Ave & Wacker Pl,41.886874999999094,-87.62603000000011,4587,0.25596783968053965
LaSalle Dr & Huron St,41.89487699999961,-87.63232600000025,4581,0.25563302236244867
Clark St & Berwyn Ave,41.97802373714621,-87.66817962068434,4569,0.25496338772626675
Canal St & Adams St,41.87925509174508,-87.63990406072303,4551,0.2539589357719939
Buckingham Fountain,41.87001149787571,-87.62374941776825,4542,0.25345670979485746
Kingsbury St & Erie St,41.89391390000065,-87.64173580000086,4541,0.25340090690850897
Mies van der Rohe Way & Chicago Ave,41.89694462637101,-87.62175768613815,4532,0.2528986809313725
Sheridan Rd & Irving Park Rd,41.95424500000059,-87.654406,4526,0.25256386361328154
Sedgwick St & North Ave,41.9109829999998,-87.63852499999884,4509,0.2516152145453571
Franklin St & Illinois St,41.89102331166081,-87.63547987248363,4500,0.25111298856822073
Milwaukee Ave & Grand Ave,41.89157800000028,-87.64838400000005,4488,0.25044335393203876
Clarendon Ave & Junior Ter,41.96100399999964,-87.64960299999925,4410,0.2460907287968563
Clark St & Wellington Ave,41.93649682190073,-87.64753865820114,4375,0.24413762777465903
Kedzie Ave & Milwaukee Ave,41.92932968711863,-87.70801076540265,4332,0.2417381036616738
Clinton St & Lake St,41.88563699999953,-87.64182300000093,4332,0.2417381036616738
Wells St & Randolph St,41.88429500000062,-87.63396300000021,4320,0.2410684690254919
Ellis Ave & 60th St,41.78509714636077,-87.60107276059922,4305,0.2402314257302645
Wilton Ave & Diversey Pkwy,41.93241799194637,-87.65270499668532,4283,0.2390037622305976
Ellis Ave & 55th St,41.794300620540135,-87.6014497734022,4268,0.2381667189353702
Halsted St & Dickens Ave,41.919935999999886,-87.6488299999994,4257,0.2375528871855368
Michigan Ave & Pearson St,41.897660000000215,-87.62351000000066,4241,0.2366600410039609
Wentworth Ave & Cermak Rd*,41.853214418519485,-87.63187229633331,4227,0.23587880059508198
Damen Ave & Cortland St,41.91598299999968,-87.67733500000007,4200,0.2343721226636727
Sedgwick St & Webster Ave,41.92216699999926,-87.63888799999971,4186,0.23359088225479377
Clarendon Ave & Gordon Ter,41.957866524152024,-87.64950513839722,4151,0.23163778123259648
California Ave & Milwaukee Ave,41.92269500000036,-87.69715300000041,4110,0.22934986289230827
Racine Ave & Belmont Ave,41.939743000000384,-87.65886500000056,4088,0.2281221993926414
Halsted St & Fulton St,41.88682194974476,-87.6478294559344,4060,0.22655971857488358
Broadway & Sheridan Rd,41.95283300000093,-87.64999299999918,4029,0.22482982909808025
McClurg Ct & Erie St,41.89450300000074,-87.6178539999991,4009,0.22371377137111037
Wells St & Walton St,41.89993000999902,-87.63443007000019,3994,0.222876728075883
Ritchie Ct & Banks St,41.906865999999916,-87.62621699999893,3991,0.22270931941683753
Aberdeen St & Jackson Blvd,41.87772612999922,-87.65478743000043,3983,0.22226289632604956
Sheffield Ave & Addison St ,41.94701699999938,-87.65441800000056,3978,0.2219838818943071
Dayton St & North Ave,41.91057803489998,-87.64942192879975,3912,0.21830089139530653
Kimbark Ave & 53rd St,41.79945489999961,-87.59477789999909,3898,0.21751965098642762
Sheridan Rd & Montrose Ave,41.96166999999982,-87.65463999999886,3884,0.2167384105775487
Peoria St & Jackson Blvd,41.87764082642958,-87.6496175835714,3854,0.21506432398709388
Stetson Ave & South Water St,41.88683499999953,-87.62231999999898,3846,0.21461790089630597
Michigan Ave & 14th St,41.86405899999963,-87.62372699999885,3843,0.21445049223726048
Damen Ave & Chicago Ave,41.895687370533885,-87.67713508286393,3798,0.21193936235157826
Michigan Ave & 18th St,41.857925999999956,-87.6243359999998,3783,0.21110231905635085
Milwaukee Ave & The 606,41.91375400000037,-87.68266580000126,3721,0.20764254010274427
Elston Ave & Cortland St,41.91643342912698,-87.66674637794495,3682,0.20546622753515303
Lincoln Ave & Diversey Pkwy,41.93222500053769,-87.65861701292455,3677,0.20518721310341057
Franklin St & Monroe St,41.880316224576774,-87.63518444612662,3675,0.2050756073307136
Wells St & Polk St,41.87273154226355,-87.63351649045944,3670,0.20479659289897112
Honore St & Division St,41.90311900000007,-87.67393499999928,3648,0.20356892939930424
Griffin Museum of Science and Industry,41.79172820952984,-87.58394500899946,3626,0.2023412658996374
Bissell St & Armitage Ave*,41.91829556293609,-87.65218332409859,3625,0.20228546301328892
Aberdeen St & Randolph St,41.88411415522958,-87.65426401895205,3619,0.2019506456951979
Calumet Ave & 18th St,41.857617552937796,-87.61941075325012,3602,0.20100199662727355
