start_station_name,station_rides,total_stations,station_percent
Racine Ave & Fullerton Ave,39,84559,0.04612164287657139
Francisco Ave & Foster Ave,39,84559,0.04612164287657139
Halsted St & 18th St,39,84559,0.04612164287657139
Larrabee St & Division St,39,84559,0.04612164287657139
Sedgwick St & Schiller St,39,84559,0.04612164287657139
Damen Ave & Leland Ave,38,84559,0.04493903664896699
Eckhart Park,38,84559,0.04493903664896699
Clark St & Montrose Ave,38,84559,0.04493903664896699
Morgan St & 18th St,38,84559,0.04493903664896699
Ashland Ave & Grace St,38,84559,0.04493903664896699
Michigan Ave & 9th St,38,84559,0.04493903664896699
Morgan Ave & 14th Pl,37,84559,0.0437564304213626
Clark St & Arlington Pl,37,84559,0.0437564304213626
Central St Metra,36,84559,0.04257382419375821
State St & 33rd St,36,84559,0.04257382419375821
Paulina St & Howard St,36,84559,0.04257382419375821
Green St & Lake St ,36,84559,0.04257382419375821
Racine Ave & Broadway,36,84559,0.04257382419375821
Leavitt St & Lawrence Ave,36,84559,0.04257382419375821
Leavitt St & North Ave,36,84559,0.04257382419375821
Canal St & Taylor St,36,84559,0.04257382419375821
Pine Grove Ave & Wellington Ave,36,84559,0.04257382419375821
Halsted St & Maxwell St,36,84559,0.04257382419375821
Ogden Ave & Chicago Ave,36,84559,0.04257382419375821
Sangamon St & Washington Blvd,35,84559,0.04139121796615381
McCormick Blvd & Devon Ave,34,84559,0.040208611738549414
Hudson Ave & Armitage Ave,34,84559,0.040208611738549414
Dearborn St & Adams St 1,34,84559,0.040208611738549414
Wacker Dr & Washington St,34,84559,0.040208611738549414
Halsted St & Roosevelt Rd,34,84559,0.040208611738549414
Hampden Ct & Diversey Pkwy,34,84559,0.040208611738549414
California Ave & North Ave,34,84559,0.040208611738549414
Drexel Ave & 60th St,33,84559,0.039026005510945025
Central Park Ave & Elbridge Ave,33,84559,0.039026005510945025
Broadway & Roscoe Ave,33,84559,0.039026005510945025
Winthrop Ave & Sheridan Rd,33,84559,0.039026005510945025
Ashland Ave & Chicago Ave,33,84559,0.039026005510945025
Carpenter St & Huron St,33,84559,0.039026005510945025
Central Park Ave & North Ave,33,84559,0.039026005510945025
Clinton St & Washington Blvd 2,32,84559,0.03784339928334063
Racine Ave & Washington Blvd,32,84559,0.03784339928334063
State St & 35th St,32,84559,0.03784339928334063
Dorchester Ave & 63rd St,32,84559,0.03784339928334063
Racine Ave & Wrightwood Ave,32,84559,0.03784339928334063
Ogden Ave & Congress Pkwy,32,84559,0.03784339928334063
Blackstone Ave & 53rd St,32,84559,0.03784339928334063
Halsted St & Belden St,32,84559,0.03784339928334063
Clark St & Schreiber Ave,32,84559,0.03784339928334063
Broadway & Oakdale Ave,32,84559,0.03784339928334063
LaSalle St & Calhoun Pl ,31,84559,0.03666079305573623
Damen Ave & Sunnyside Ave,31,84559,0.03666079305573623
Milwaukee Ave & Rockwell St,31,84559,0.03666079305573623
Loomis St & Lexington St,31,84559,0.03666079305573623
Lincoln Ave & Belle Plaine Ave,31,84559,0.03666079305573623
Racine Ave & 18th St,31,84559,0.03666079305573623
St. Louis Ave & Fullerton Ave,31,84559,0.03666079305573623
Lincoln Ave & Roscoe St*,31,84559,0.03666079305573623
Sheffield Ave & Willow St,30,84559,0.035478186828131836
Greenview Ave & Fullerton Ave,30,84559,0.035478186828131836
Calumet Ave & 35th St,30,84559,0.035478186828131836
Cumberland Ave & Catherine Ave,30,84559,0.035478186828131836
Loomis St & Jackson Blvd,30,84559,0.035478186828131836
Wentworth Ave & 33rd St,30,84559,0.035478186828131836
Milwaukee Ave & Highland Ave,30,84559,0.035478186828131836
Stave St & Armitage Ave,30,84559,0.035478186828131836
Wells St & Washington St,30,84559,0.035478186828131836
Humboldt Blvd & Armitage Ave,30,84559,0.035478186828131836
Western Ave & Leland Ave,29,84559,0.034295580600527446
Larrabee St & Menomonee St,29,84559,0.034295580600527446
Spaulding Ave & Armitage Ave,29,84559,0.034295580600527446
Aberdeen St & Monroe St,29,84559,0.034295580600527446
Lincoln Ave & Montana St,29,84559,0.034295580600527446
Campbell Ave & North Ave,29,84559,0.034295580600527446
Racine Ave & 15th St,29,84559,0.034295580600527446
Larrabee St & Kingsbury St,29,84559,0.034295580600527446
Western Ave & Division St,28,84559,0.03311297437292305
Paulina St & Montrose Ave,28,84559,0.03311297437292305
Sheffield Ave & Addison St,28,84559,0.03311297437292305
Southport Ave & Clybourn Ave,28,84559,0.03311297437292305
Southport Ave & Wrightwood Ave,28,84559,0.03311297437292305
DuSable Museum,28,84559,0.03311297437292305
Elston Ave & Cortland St,28,84559,0.03311297437292305
Kingsbury St & Kinzie St 1,27,84559,0.031930368145318654
Dearborn St & Adams St 2,27,84559,0.031930368145318654
Racine Ave & Randolph St,27,84559,0.031930368145318654
Western Ave & Granville Ave,27,84559,0.031930368145318654
Broadway & Sunnyside Ave,27,84559,0.031930368145318654
Leavitt St & Armitage Ave,27,84559,0.031930368145318654
Wells St & Madison St,26,84559,0.030747761917714257
Sangamon St & Adams St,26,84559,0.030747761917714257
Richmond St & Diversey Ave,26,84559,0.030747761917714257
Cottage Grove Ave & 51st St,26,84559,0.030747761917714257
Avondale Ave & Irving Park Rd,26,84559,0.030747761917714257
Campbell Ave & Montrose Ave,26,84559,0.030747761917714257
Ravenswood Ave & Irving Park Rd,26,84559,0.030747761917714257
Shields Ave & 31st St,25,84559,0.029565155690109868
Aberdeen St & Carroll Ave,25,84559,0.029565155690109868
Ogden Ave & Race Ave,25,84559,0.029565155690109868
Ravenswood Ave & Berteau Ave,25,84559,0.029565155690109868
Emerald Ave & 31st St,25,84559,0.029565155690109868
Lincolnwood Dr & Central St,25,84559,0.029565155690109868
Leavitt St & Addison St,25,84559,0.029565155690109868
Leavitt St & Belmont Ave,25,84559,0.029565155690109868
Noble St & Milwaukee Ave,24,84559,0.02838254946250547
Wood St & Chicago Ave,24,84559,0.02838254946250547
Orleans St & Elm St,24,84559,0.02838254946250547
Morgan St & 31st St,24,84559,0.02838254946250547
Damen Ave & Thomas St (Augusta Blvd),24,84559,0.02838254946250547
California Ave & Cortez St,24,84559,0.02838254946250547
Halsted St & Polk St,24,84559,0.02838254946250547
Christiana Ave & Lawrence Ave,23,84559,0.027199943234901075
Lincoln Ave & Winona St,23,84559,0.027199943234901075
MLK Jr Dr & 47th St,23,84559,0.027199943234901075
Ashland Ave & Wrightwood Ave,23,84559,0.027199943234901075
Halsted St & 35th St,23,84559,0.027199943234901075
Rockwell St & Eastwood Ave,23,84559,0.027199943234901075
Laflin St & Cullerton St,23,84559,0.027199943234901075
Wells St & Ohio St,23,84559,0.027199943234901075
Milwaukee Ave & Fullerton Ave,23,84559,0.027199943234901075
Damen Ave & Wabansia Ave,22,84559,0.02601733700729668
Dorchester Ave & 53rd St,22,84559,0.02601733700729668
Peoria St & Kinzie St,22,84559,0.02601733700729668
Sheffield/Newport Corral,22,84559,0.02601733700729668
Cottage Grove Ave & 43rd St,22,84559,0.02601733700729668
Seeley Ave & Roscoe St,22,84559,0.02601733700729668
Western Ave & Monroe St,22,84559,0.02601733700729668
Washtenaw Ave & Lawrence Ave,22,84559,0.02601733700729668
Kosciuszko Park,22,84559,0.02601733700729668
Halsted St & Armitage Ave,22,84559,0.02601733700729668
Damen Ave & Clybourn Ave,22,84559,0.02601733700729668
California Ave & Francis Pl,22,84559,0.02601733700729668
Paulina St & 18th St,22,84559,0.02601733700729668
Western Ave & Roscoe St,22,84559,0.02601733700729668
Lincoln Ave & Addison St,22,84559,0.02601733700729668
Kingsbury St & Kinzie St 2,22,84559,0.02601733700729668
Dan Ryan Woods & 83rd St,21,84559,0.02483473077969229
South Shore Dr & 74th St,21,84559,0.02483473077969229
Clinton St & 18th St,21,84559,0.02483473077969229
Kimball Ave & Belmont Ave,21,84559,0.02483473077969229
