end_station_name,end_lat,end_lng,casual_stops,percent_of_casual_stops
Franklin St & Illinois St,41.89102331166078,-87.63547987248363,4500,0.25111298856822073
Milwaukee Ave & Grand Ave,41.89157800000027,-87.64838400000004,4488,0.25044335393203876
Clarendon Ave & Junior Ter,41.96100399999948,-87.64960299999913,4410,0.2460907287968563
Clark St & Wellington Ave,41.9364968219008,-87.64753865820124,4375,0.24413762777465903
Kedzie Ave & Milwaukee Ave,41.92932968711863,-87.70801076540234,4332,0.2417381036616738
Clinton St & Lake St,41.885636999999534,-87.64182300000095,4332,0.2417381036616738
Wells St & Randolph St,41.88429500000012,-87.63396300000021,4320,0.2410684690254919
Ellis Ave & 60th St,41.78509714636018,-87.60107276059883,4305,0.2402314257302645
Wilton Ave & Diversey Pkwy,41.93241799194663,-87.65270499668672,4283,0.2390037622305976
Ellis Ave & 55th St,41.7943006205395,-87.60144977340316,4268,0.2381667189353702
Halsted St & Dickens Ave,41.91993599999949,-87.64883000000029,4257,0.2375528871855368
Michigan Ave & Pearson St,41.89765999999997,-87.62351000000012,4241,0.2366600410039609
Wentworth Ave & Cermak Rd*,41.85321441851991,-87.63187229633331,4227,0.23587880059508198
Damen Ave & Cortland St,41.91598299999962,-87.67733499999896,4200,0.2343721226636727
Sedgwick St & Webster Ave,41.92216699999944,-87.63888800000083,4186,0.23359088225479377
Clarendon Ave & Gordon Ter,41.9578665241522,-87.64950513839722,4151,0.23163778123259648
California Ave & Milwaukee Ave,41.9226950000003,-87.69715300000051,4110,0.22934986289230827
Racine Ave & Belmont Ave,41.93974300000006,-87.65886500000097,4088,0.2281221993926414
Halsted St & Fulton St,41.886821949745034,-87.64782945593413,4060,0.22655971857488358
Broadway & Sheridan Rd,41.95283300000122,-87.64999299999918,4029,0.22482982909808025
McClurg Ct & Erie St,41.89450300000066,-87.61785399999886,4009,0.22371377137111037
Wells St & Walton St,41.89993000999875,-87.63443007000019,3994,0.222876728075883
Ritchie Ct & Banks St,41.90686599999964,-87.62621699999876,3991,0.22270931941683753
Aberdeen St & Jackson Blvd,41.877726129999196,-87.65478742999963,3983,0.22226289632604956
Sheffield Ave & Addison St ,41.94701699999931,-87.65441800000058,3978,0.2219838818943071
Dayton St & North Ave,41.91057803489979,-87.64942192879973,3912,0.21830089139530653
Kimbark Ave & 53rd St,41.7994548999996,-87.59477789999904,3898,0.21751965098642762
Sheridan Rd & Montrose Ave,41.96166999999991,-87.65463999999875,3884,0.2167384105775487
Peoria St & Jackson Blvd,41.877640826429804,-87.6496175835714,3854,0.21506432398709388
Stetson Ave & South Water St,41.88683499999967,-87.62231999999928,3846,0.21461790089630597
Michigan Ave & 14th St,41.86405899999963,-87.62372699999884,3843,0.21445049223726048
Damen Ave & Chicago Ave,41.89568737053388,-87.67713508286393,3798,0.21193936235157826
Michigan Ave & 18th St,41.8579259999999,-87.62433599999962,3783,0.21110231905635085
Milwaukee Ave & The 606,41.91375399999988,-87.68266580000147,3721,0.20764254010274427
Elston Ave & Cortland St,41.91643342912698,-87.66674637794495,3682,0.20546622753515303
Lincoln Ave & Diversey Pkwy,41.9322250005374,-87.65861701292478,3677,0.20518721310341057
Franklin St & Monroe St,41.88031622457702,-87.63518444612666,3675,0.2050756073307136
Wells St & Polk St,41.872731542263374,-87.63351649045944,3670,0.20479659289897112
Honore St & Division St,41.90311900000021,-87.67393499999928,3648,0.20356892939930424
Griffin Museum of Science and Industry,41.79172820952982,-87.58394500899946,3626,0.2023412658996374
Bissell St & Armitage Ave*,41.918295562936116,-87.65218332409859,3625,0.20228546301328892
Aberdeen St & Randolph St,41.88411415522956,-87.65426401895233,3619,0.2019506456951979
Calumet Ave & 18th St,41.85761755293764,-87.61941075325012,3602,0.20100199662727355
Clark St & Chicago Ave,41.89674999999989,-87.63089000000032,3565,0.1989372898323793
Sangamon St & Lake St,41.88577925240472,-87.65102460980414,3563,0.1988256840596823
Sheffield Ave & Kingsbury St,41.910521999999574,-87.65310600000008,3506,0.19564491953781818
Cannon Dr & Fullerton Ave,41.92675598750035,-87.6344287847993,3448,0.19240835212960555
Sedgwick St & Huron St,41.894666,-87.63843700000061,3428,0.19129229440263568
Wabash Ave & Adams St,41.87947235235006,-87.6256886058995,3399,0.18967401069852938
