start_hour,day_of_the_week_started_on,member_rides,casual_rides,member_daily_percent,casual_daily_percent
16,Friday,57215,33039,9.544916912595152,9.244781465107168
17,Friday,60996,35638,10.175683859139282,9.972018579663104
18,Friday,49991,31385,8.339770014463763,8.781968772734903
19,Friday,35732,23997,5.961006224256751,6.7147014382450045
20,Friday,24449,17139,4.078714910356355,4.795735631540657
21,Friday,18660,14232,3.1129625026483536,3.982315742347082
22,Friday,16438,14185,2.7422763997070545,3.9691644747887405
23,Friday,12982,13093,2.16572771754453,3.6636073647098324
0,Saturday,10245,12716,1.9639454504326623,2.6118766855703877
1,Saturday,6789,9029,1.30143735119447,1.854563903272651
2,Saturday,4119,5804,0.7896038370260747,1.1921462946721084
3,Saturday,2185,3051,0.4188600106584057,0.6266778678574436
4,Saturday,1302,1703,0.24959072488661063,0.3497975775028602
5,Saturday,2450,1532,0.46965996618448247,0.31467403918636633
6,Saturday,5865,2942,1.1243084496620366,0.6042891796907897
7,Saturday,10553,5357,2.02298841761014,1.10033213310794
8,Saturday,19033,10470,3.6485869944445937,2.1505464688519944
9,Saturday,26590,17395,5.097248367691995,3.572947070265563
10,Saturday,33611,26303,6.443159642214955,5.40265747566514
11,Saturday,38175,33444,7.318069064935761,6.8694246517942785
12,Saturday,39718,38566,7.613858994659295,7.9214875948181485
13,Saturday,39485,39211,7.569193373385424,8.053971116538257
14,Saturday,39661,40662,7.602932211772555,8.352007690206284
15,Saturday,39810,42084,7.631495205634387,8.644087640417128
16,Saturday,39827,40708,7.6347540707058705,8.361456127414229
17,Saturday,37085,36100,7.109118304470012,7.41496920014871
18,Saturday,34236,30756,6.562970858078343,6.317307277556059
19,Saturday,26487,24121,5.077503479317709,4.954472910714322
20,Saturday,19109,17894,3.6631560382935815,3.6754420738908866
21,Saturday,16984,16484,3.255797904358061,3.3858269333864635
22,Saturday,16014,17140,3.0698508973380823,3.5205698640041243
23,Saturday,12321,13381,2.361910385044493,2.748468223467864
0,Sunday,9805,13288,2.1910418677821872,3.443834246039254
