end_station_name,end_lat,end_lng,member_stops,percent_of_member_stops
Ashland Ave & Blackhawk St,41.90706599999984,-87.66725199999962,5938,0.18046246165020735
Wabash Ave & Adams St,41.87947235235012,-87.62568860589889,5918,0.17985463928021675
Broadway & Berwyn Ave,41.978361000000376,-87.65978899999935,5907,0.17952033697672193
Sheridan Rd & Argyle St,41.973286820259695,-87.65475958585739,5891,0.17903407908072946
900 W Harrison St,41.87475399999983,-87.64980699999984,5857,0.17800078105174544
Elizabeth St & Fulton St,41.88674360684871,-87.6594303445308,5821,0.17690670078576237
Ashland Ave & Chicago Ave,41.8959543573434,-87.6677280664444,5819,0.1768459185487633
Damen Ave & Thomas St (Augusta Blvd),41.901314999999954,-87.67740900000021,5819,0.1768459185487633
Halsted St & Maxwell St,41.86488299999984,-87.64707099999961,5780,0.17566066492728163
Dearborn St & Adams St,41.8793755545332,-87.6297615007639,5763,0.17514401591278966
Bissell St & Armitage Ave*,41.918295562936095,-87.65218332409859,5735,0.17429306459480282
State St & Pearson St,41.89744800000015,-87.6287219999999,5696,0.17310781097332115
Clark St & Bryn Mawr Ave,41.9835929999998,-87.66915400000094,5661,0.17204412182583761
Michigan Ave & 18th St,41.857925999999935,-87.62433599999972,5598,0.17012948136036724
Eckhart Park,41.896373370000184,-87.66098385999949,5580,0.1695824412273757
Wood St & Beach Ave,41.90765500000034,-87.6725520000014,5566,0.1691569655683823
Clark St & Montrose Ave,41.961587999999466,-87.66603599999955,5554,0.16879227214638795
Ashland Ave & Augusta Blvd,41.899619999999956,-87.66840999999913,5504,0.16727271622141146
Larrabee St & Oak St,41.9003178342788,-87.64238663675506,5503,0.16724232510291193
Damen Ave & Leland Ave,41.96708100000005,-87.67907600000032,5484,0.16666489385142086
Damen Ave & Wicker Park Ave,41.90881519999979,-87.67719370000049,5468,0.1661786359554284
Larrabee St & Kingsbury St 2,41.897580000000126,-87.64290000000013,5416,0.16459829779345284
Orleans St & Chestnut St (NEXT Apts),41.89820299999989,-87.63753599999941,5404,0.16423360437145848
Larrabee St & Armitage Ave,41.91808400000006,-87.64374900000016,5372,0.16326108857947352
Broadway & Granville Ave,41.9947796884004,-87.66028453489922,5359,0.16286600403897963
Ellis Ave & 53rd St,41.799336262610225,-87.60095811449942,5323,0.16177192377299657
Wabash Ave & Washington St,41.88319999999978,-87.62661999999987,5321,0.16171114153599753
Broadway & Argyle St,41.97422999999984,-87.65977350000044,5279,0.16043471455901726
Ogden Ave & Race Ave,41.89179499999992,-87.6587510000003,5278,0.16040432344051775
Ada St & Washington Blvd,41.882829999999935,-87.66120600000005,5277,0.16037393232201821
Western Ave & Winnebago Ave,41.91551999999978,-87.68702199999895,5276,0.16034354120351868
Desplaines St & Randolph St,41.88370299999985,-87.64423800000039,5256,0.1597357188335281
Wood St & Augusta Blvd,41.89918100000032,-87.67220000000067,5255,0.15970532771502854
Shedd Aquarium,41.86722596134789,-87.61535540232548,5203,0.158124989553053
Marine Dr & Ainslie St,41.97159999999984,-87.65015400000131,5167,0.15703090928706995
Michigan Ave & Jackson Blvd,41.878549103438885,-87.62414615751572,5155,0.1566662158650756
Sheffield Ave & Addison St ,41.947016999999406,-87.65441800000094,5153,0.15660543362807652
Paulina Ave & North Ave,41.909854652167844,-87.66993016004562,5098,0.1549339221106024
Clarendon Ave & Leland Ave,41.96796799999976,-87.65000100000121,5069,0.15405257967411604
University Ave & 59th St,41.78787799999994,-87.59890599999949,5062,0.15383984184461932
Broadway & Thorndale Ave,41.989742511439644,-87.66014062089977,5057,0.15368788625212168
Burnham Harbor,41.85741178707396,-87.61379152536392,5052,0.15353593065962404
Southport Ave & Irving Park Rd,41.95417699999973,-87.66435800000097,5036,0.15304967276363154
Lake Park Ave & 56th St,41.79161000000019,-87.58748000000031,5006,0.15213793920864566
Ashland Ave & Wellington Ave,41.93608300000025,-87.66980699999908,4986,0.15153011683865508
Clinton St & Tilden St,41.875885000000316,-87.64079499999953,4907,0.14912921847719224
State St & Harrison St,41.87405299999966,-87.6277160000009,4873,0.1480959204482082
Broadway & Oakdale Ave,41.93558041926892,-87.64404982696941,4871,0.14803513821120914
Leavitt St & North Ave,41.91019243265284,-87.68233923469396,4864,0.14782240038171246
Hermitage Ave & Polk St,41.87151399999983,-87.66988600000063,4800,0.14587736879774255
Lake Park Ave & 53rd St,41.79949429372968,-87.58644989589962,4789,0.14554306649424772
Green St & Washington Blvd,41.883181305772645,-87.6487246167462,4779,0.1452391553092524
State St & Van Buren St,41.877181000000014,-87.62784400000055,4776,0.14514798195375384
Lincoln Ave & Sunnyside Ave,41.96300400000006,-87.6847810000008,4771,0.1449960263612562
Wood St & Milwaukee Ave,41.907084807796146,-87.67211673239915,4769,0.14493524412425712
Cornell Ave & Hyde Park Blvd,41.80240599999998,-87.58692400000074,4766,0.14484407076875855
Fairbanks St & Superior St,41.89574800000007,-87.62010400000058,4752,0.14441859510976512
Racine Ave & Wrightwood Ave,41.92888699999971,-87.65897099999951,4733,0.14384116385827406
Wood St & Taylor St (Temp),41.869265218438464,-87.67373085021973,4715,0.14329412372528252
Michigan Ave & Madison St,41.882133999999816,-87.6251249999995,4679,0.14220004345929946
Clybourn Ave & Division St,41.904612999999834,-87.64055199999966,4677,0.1421392612223004
Jefferson St & Monroe St,41.880329633634524,-87.64274597167967,4670,0.1419265233928037
