station_name,station_lat,station_lng,rider_type,endpoint_role,percent_of_endpoint_role_x_rider_type,running_count,total_count
Theater on the Lake,41.92627665213445,-87.63083493234272,casual,start,0.9854457995550276,171360,1619876
Clark St & Armitage Ave,41.91830591917159,-87.63628279426986,casual,start,0.5817729258288906,246726,1619876
Wells St & Concord Ln,41.91213184801669,-87.63465684692152,casual,start,0.5717721603381987,255988,1619876
Clark St & Elm St,41.902965559418746,-87.63130548448093,casual,start,0.521274467922236,308100,1619876
Wells St & Elm St,41.90322164596611,-87.6343315684133,casual,start,0.49293896569860907,316085,1619876
Wells St & Huron St,41.89479249556632,-87.63437770263243,casual,start,0.4605908106546427,354303,1619876
Wells St & Hubbard St,41.88990781575158,-87.63426794157044,casual,start,0.45688682343586795,361704,1619876
DuSable Lake Shore Dr & Monroe St,41.8809592736554,-87.61674359228822,casual,start,1.9857075479851545,78138,1619876
Canal St & Madison St,41.88240566588069,-87.63976503704451,casual,start,0.40805592526835394,409921,1619876
Clinton St & Madison St,41.88235589567386,-87.64117769313613,casual,start,0.39922808906360735,422934,1619876
Desplaines St & Kinzie St,41.88871340018929,-87.64444818255036,casual,start,0.3800290886462914,435268,1619876
Daley Center Plaza,41.88424067275653,-87.62963329894387,casual,start,0.34977985969296416,464185,1619876
Kingsbury St & Kinzie St,41.889171220557266,-87.63849966439328,casual,start,0.3350873770584909,502982,1619876
University Ave & 57th St,41.79147783422605,-87.5998624150338,casual,start,0.3150241129567942,555724,1619876
Clinton St & Jackson Blvd,41.87831744255241,-87.64098428408072,casual,start,0.3113201257380194,576009,1619876
Kingsbury St & Erie St,41.893906916578906,-87.64173640320331,casual,start,0.28428101904096365,642608,1619876
Canal St & Adams St,41.8792548374053,-87.63990662227725,casual,start,0.2629830925330087,695533,1619876
Franklin St & Monroe St,41.88031589373247,-87.635184050674,casual,start,0.18340910044966405,949897,1619876
Clinton St & Jackson Blvd,41.87831662293854,-87.64098109556475,member,end,0.6194888214164989,157695,2990853
University Ave & 57th St,41.79147799999974,-87.59986100000015,casual,end,0.3086115720442148,569152,1573499
Daley Center Plaza,41.88424087802259,-87.62963349028371,member,end,0.53215587660109,240309,2990853
Millennium Park,41.88103170000004,-87.6240843200002,member,end,0.2550442967273885,1405889,2990853
DuSable Lake Shore Dr & Monroe St,41.88095801744797,-87.61674300113127,member,end,0.30924288154583324,1027630,2990853
Theater on the Lake,41.9262769999995,-87.63083399999994,member,end,0.3853081378456246,727619,2990853
